,Start,End,Precip,date,duration,cso,Duration,Precipitation,Year,Intensity
0,01/01/2000 00:00:00,01/01/2000 06:30:00,6.94,01/01/2000,78,,390,1.735,0,3.203076923
1,01/02/2000 06:05:00,01/02/2000 10:40:00,8.54,01/02/2000,55,,275,2.135,0,5.589818182
2,01/02/2000 17:40:00,01/03/2000 05:25:00,19.66,01/02/2000,141,,705,4.915,0,5.019574468
3,01/04/2000 03:40:00,01/04/2000 08:25:00,19.83,01/04/2000,57,,285,4.9575,0,12.52421053
4,01/04/2000 12:55:00,01/04/2000 17:35:00,0.3,01/04/2000,56,,280,0.075,0,0.192857143
5,01/04/2000 20:10:00,01/04/2000 21:50:00,4.52,01/04/2000,20,,100,1.13,0,8.136
6,01/05/2000 14:00:00,01/05/2000 14:20:00,0.07,01/05/2000,4,,20,0.0175,0,0.63
7,01/06/2000 06:55:00,01/06/2000 07:00:00,0.02,01/06/2000,1,,5,0.005,0,0.72
8,01/07/2000 05:05:00,01/07/2000 11:00:00,16.42,01/07/2000,71,,355,4.105,0,8.325633803
9,01/08/2000 07:05:00,01/08/2000 07:45:00,0.03,01/08/2000,8,,40,0.0075,0,0.135
10,01/09/2000 21:45:00,01/09/2000 22:35:00,0.12,01/09/2000,10,,50,0.03,0,0.432
11,01/10/2000 21:30:00,01/10/2000 22:20:00,2.28,01/10/2000,10,,50,0.57,0,8.208
12,01/11/2000 01:45:00,01/11/2000 03:25:00,0.04,01/11/2000,20,,100,0.01,0,0.072
13,01/12/2000 08:50:00,01/12/2000 12:25:00,1.61,01/12/2000,43,,215,0.4025,0,1.347906977
14,01/13/2000 07:05:00,01/13/2000 09:00:00,0.97,01/13/2000,23,,115,0.2425,0,1.51826087
15,01/15/2000 10:25:00,01/15/2000 18:45:00,34.08,01/15/2000,100,,500,8.52,0,12.2688
16,01/15/2000 21:40:00,01/16/2000 04:30:00,9.03,01/15/2000,82,,410,2.2575,0,3.964390244
17,01/16/2000 08:50:00,01/16/2000 10:40:00,0.76,01/16/2000,22,,110,0.19,0,1.243636364
18,01/16/2000 14:45:00,01/16/2000 15:20:00,3.65,01/16/2000,7,,35,0.9125,0,18.77142857
19,01/18/2000 18:40:00,01/18/2000 19:15:00,2.77,01/18/2000,7,,35,0.6925,0,14.24571429
20,01/20/2000 04:55:00,01/20/2000 05:10:00,0.22,01/20/2000,3,,15,0.055,0,2.64
21,01/20/2000 10:30:00,01/20/2000 10:35:00,0.07,01/20/2000,1,,5,0.0175,0,2.52
22,01/21/2000 06:00:00,01/21/2000 12:40:00,9.09,01/21/2000,80,,400,2.2725,0,4.0905
23,01/22/2000 10:15:00,01/22/2000 10:25:00,0.11,01/22/2000,2,,10,0.0275,0,1.98
24,01/23/2000 09:45:00,01/23/2000 10:45:00,0.06,01/23/2000,12,,60,0.015,0,0.18
25,01/24/2000 15:40:00,01/25/2000 06:50:00,35.42,01/24/2000,182,,910,8.855,0,7.006153846
26,01/25/2000 21:45:00,01/26/2000 05:00:00,1.63,01/25/2000,87,,435,0.4075,0,0.674482759
27,01/26/2000 08:10:00,01/26/2000 10:10:00,1.47,01/26/2000,24,,120,0.3675,0,2.205
28,01/26/2000 19:00:00,01/26/2000 19:05:00,0.03,01/26/2000,1,,5,0.0075,0,1.08
29,01/26/2000 21:20:00,01/27/2000 16:15:00,36.37,01/26/2000,227,,1135,9.0925,0,5.767929515
30,01/28/2000 16:20:00,01/28/2000 18:25:00,1.29,01/28/2000,25,,125,0.3225,0,1.8576
31,02/02/2000 21:00:00,02/02/2000 21:15:00,0.09,02/02/2000,3,,15,0.0225,0,1.08
32,02/02/2000 23:40:00,02/02/2000 23:50:00,0.03,02/02/2000,2,,10,0.0075,0,0.54
33,02/03/2000 03:10:00,02/03/2000 09:45:00,9.71,02/03/2000,79,,395,2.4275,0,4.424810127
34,02/03/2000 14:00:00,02/03/2000 18:45:00,10.39,02/03/2000,57,,285,2.5975,0,6.562105263
35,02/03/2000 23:00:00,02/04/2000 01:35:00,0.77,02/03/2000,31,,155,0.1925,0,0.894193548
36,02/04/2000 12:40:00,02/04/2000 14:25:00,1.63,02/04/2000,21,,105,0.4075,0,2.794285714
37,02/05/2000 13:45:00,02/05/2000 15:35:00,1.84,02/05/2000,22,,110,0.46,0,3.010909091
38,02/06/2000 05:25:00,02/06/2000 05:45:00,0.37,02/06/2000,4,,20,0.0925,0,3.33
39,02/06/2000 12:50:00,02/06/2000 14:05:00,0.32,02/06/2000,15,,75,0.08,0,0.768
40,02/06/2000 17:35:00,02/06/2000 18:00:00,1.5,02/06/2000,5,,25,0.375,0,10.8
41,02/07/2000 22:35:00,02/07/2000 22:55:00,0.22,02/07/2000,4,,20,0.055,0,1.98
42,02/09/2000 10:50:00,02/09/2000 11:15:00,0.06,02/09/2000,5,,25,0.015,0,0.432
43,02/11/2000 10:35:00,02/11/2000 16:45:00,2.91,02/11/2000,74,,370,0.7275,0,1.415675676
44,02/12/2000 20:00:00,02/12/2000 20:20:00,0.07,02/12/2000,4,,20,0.0175,0,0.63
45,02/13/2000 04:00:00,02/13/2000 10:45:00,2.21,02/13/2000,81,,405,0.5525,0,0.982222222
46,02/13/2000 13:20:00,02/13/2000 14:30:00,0.28,02/13/2000,14,,70,0.07,0,0.72
47,02/13/2000 23:20:00,02/14/2000 03:45:00,0.29,02/13/2000,53,,265,0.0725,0,0.196981132
48,02/14/2000 05:45:00,02/14/2000 07:05:00,1.11,02/14/2000,16,,80,0.2775,0,2.4975
49,02/14/2000 09:35:00,02/14/2000 17:10:00,1.48,02/14/2000,91,,455,0.37,0,0.585494505
50,02/14/2000 19:40:00,02/14/2000 20:40:00,0.63,02/14/2000,12,,60,0.1575,0,1.89
51,02/15/2000 01:40:00,02/15/2000 15:35:00,38.76,02/15/2000,167,,835,9.69,0,8.355449102
52,02/15/2000 17:45:00,02/15/2000 17:50:00,0.17,02/15/2000,1,,5,0.0425,0,6.12
53,02/15/2000 23:15:00,02/16/2000 03:40:00,4.03,02/15/2000,53,,265,1.0075,0,2.737358491
54,02/16/2000 10:05:00,02/16/2000 10:25:00,0.27,02/16/2000,4,,20,0.0675,0,2.43
55,02/17/2000 02:00:00,02/17/2000 03:15:00,0.03,02/17/2000,15,,75,0.0075,0,0.072
56,02/18/2000 05:25:00,02/18/2000 13:15:00,10.01,02/18/2000,94,,470,2.5025,0,3.833617021
57,02/18/2000 15:20:00,02/18/2000 21:15:00,3.83,02/18/2000,71,,355,0.9575,0,1.941971831
58,02/20/2000 16:20:00,02/20/2000 16:40:00,0.07,02/20/2000,4,,20,0.0175,0,0.63
59,02/21/2000 02:55:00,02/21/2000 10:45:00,7.22,02/21/2000,94,,470,1.805,0,2.765106383
60,02/21/2000 14:25:00,02/21/2000 14:30:00,0.02,02/21/2000,1,,5,0.005,0,0.72
61,02/21/2000 18:45:00,02/22/2000 05:35:00,16.81,02/21/2000,130,,650,4.2025,0,4.655076923
62,02/23/2000 09:20:00,02/23/2000 10:20:00,0.14,02/23/2000,12,,60,0.035,0,0.42
63,02/23/2000 12:25:00,02/23/2000 14:15:00,1.24,02/23/2000,22,,110,0.31,0,2.029090909
64,02/24/2000 06:15:00,02/24/2000 09:20:00,3.25,02/24/2000,37,,185,0.8125,0,3.162162162
65,02/25/2000 06:05:00,02/25/2000 08:05:00,1.74,02/25/2000,24,,120,0.435,0,2.61
66,02/25/2000 15:50:00,02/25/2000 17:15:00,3.8,02/25/2000,17,,85,0.95,0,8.047058824
67,02/26/2000 09:05:00,02/26/2000 11:50:00,2.95,02/26/2000,33,,165,0.7375,0,3.218181818
68,02/26/2000 20:55:00,02/27/2000 09:55:00,6.9,02/26/2000,156,,780,1.725,0,1.592307692
69,02/27/2000 17:15:00,02/27/2000 17:35:00,0.04,02/27/2000,4,,20,0.01,0,0.36
70,02/28/2000 01:25:00,02/28/2000 03:50:00,0.95,02/28/2000,29,,145,0.2375,0,1.179310345
71,03/01/2000 16:00:00,03/02/2000 08:35:00,32.34,03/01/2000,199,,995,8.085,0,5.850452261
72,03/02/2000 12:10:00,03/02/2000 12:15:00,0.02,03/02/2000,1,,5,0.005,0,0.72
73,03/03/2000 00:55:00,03/03/2000 04:45:00,1.46,03/03/2000,46,,230,0.365,0,1.142608696
74,03/13/2000 14:25:00,03/13/2000 23:20:00,24.04,03/13/2000,107,,535,6.01,0,8.088224299
75,03/18/2000 22:25:00,03/19/2000 00:35:00,7.76,03/18/2000,26,,130,1.94,0,10.74461538
76,03/19/2000 03:25:00,03/19/2000 03:50:00,0.57,03/19/2000,5,,25,0.1425,0,4.104
77,03/19/2000 09:15:00,03/19/2000 15:30:00,24.71,03/19/2000,75,,375,6.1775,0,11.8608
78,03/19/2000 17:55:00,03/19/2000 22:05:00,1.56,03/19/2000,50,,250,0.39,0,1.1232
79,03/20/2000 04:20:00,03/20/2000 04:45:00,0.15,03/20/2000,5,,25,0.0375,0,1.08
80,03/20/2000 07:45:00,03/20/2000 09:05:00,1.67,03/20/2000,16,,80,0.4175,0,3.7575
81,03/21/2000 07:05:00,03/21/2000 08:00:00,0.03,03/21/2000,11,,55,0.0075,0,0.098181818
82,03/22/2000 15:55:00,03/22/2000 18:10:00,7.54,03/22/2000,27,,135,1.885,0,10.05333333
83,03/23/2000 11:10:00,03/23/2000 15:40:00,11.1,03/23/2000,54,,270,2.775,0,7.4
