,Start,End,Date,Duration,Precipitation
0,01/01/2000 00:00:00,01/01/2000 06:30:00,01/01/2000,390.0,1.7525000000000002
1,01/02/2000 06:05:00,01/02/2000 10:40:00,01/02/2000,275.0,2.1425
2,01/02/2000 17:40:00,01/03/2000 05:25:00,01/02/2000,705.0,4.9225
3,01/04/2000 03:40:00,01/04/2000 08:25:00,01/04/2000,285.0,4.965000000000001
4,01/04/2000 12:55:00,01/04/2000 17:35:00,01/04/2000,280.0,0.0825
5,01/04/2000 20:10:00,01/04/2000 21:50:00,01/04/2000,100.0,1.1375000000000002
6,01/05/2000 14:00:00,01/05/2000 14:20:00,01/05/2000,20.0,0.035
7,01/06/2000 06:55:00,01/06/2000 07:00:00,01/06/2000,5.0,0.01
8,01/07/2000 05:05:00,01/07/2000 11:00:00,01/07/2000,355.0,4.1125
9,01/08/2000 03:00:00,01/08/2000 03:00:00,01/08/2000,0.0,0.0075
10,01/08/2000 07:05:00,01/08/2000 07:45:00,01/08/2000,40.0,0.015
11,01/09/2000 21:45:00,01/09/2000 22:35:00,01/09/2000,50.0,0.0375
12,01/10/2000 21:30:00,01/10/2000 22:20:00,01/10/2000,50.0,0.5850000000000001
13,01/11/2000 01:45:00,01/11/2000 03:25:00,01/11/2000,100.0,0.0175
14,01/12/2000 08:50:00,01/12/2000 12:25:00,01/12/2000,215.0,0.41000000000000003
15,01/13/2000 07:05:00,01/13/2000 09:00:00,01/13/2000,115.0,0.25
16,01/14/2000 16:40:00,01/14/2000 16:40:00,01/14/2000,0.0,0.0075
17,01/15/2000 10:25:00,01/15/2000 18:45:00,01/15/2000,500.0,8.5275
18,01/15/2000 21:40:00,01/16/2000 04:30:00,01/15/2000,410.0,2.2649999999999997
19,01/16/2000 08:50:00,01/16/2000 10:40:00,01/16/2000,110.0,0.1975
20,01/16/2000 14:45:00,01/16/2000 15:20:00,01/16/2000,35.0,0.9275
21,01/17/2000 04:55:00,01/17/2000 04:55:00,01/17/2000,0.0,0.0075
22,01/18/2000 05:45:00,01/18/2000 05:45:00,01/18/2000,0.0,0.0075
23,01/18/2000 18:40:00,01/18/2000 19:15:00,01/18/2000,35.0,0.7
24,01/19/2000 10:45:00,01/19/2000 10:45:00,01/19/2000,0.0,0.0075
25,01/20/2000 04:55:00,01/20/2000 05:10:00,01/20/2000,15.0,0.07500000000000001
26,01/20/2000 10:30:00,01/20/2000 10:35:00,01/20/2000,5.0,0.025
27,01/21/2000 06:00:00,01/21/2000 12:40:00,01/21/2000,400.0,2.28
28,01/22/2000 10:15:00,01/22/2000 10:25:00,01/22/2000,10.0,0.04
29,01/22/2000 12:50:00,01/22/2000 12:50:00,01/22/2000,0.0,0.0075
30,01/23/2000 09:45:00,01/23/2000 10:45:00,01/23/2000,60.0,0.0325
31,01/24/2000 15:40:00,01/25/2000 06:50:00,01/24/2000,910.0,8.8625
32,01/25/2000 21:45:00,01/26/2000 05:00:00,01/25/2000,435.0,0.41500000000000004
33,01/26/2000 08:10:00,01/26/2000 10:10:00,01/26/2000,120.0,0.375
34,01/26/2000 19:00:00,01/26/2000 19:05:00,01/26/2000,5.0,0.015
35,01/26/2000 21:20:00,01/27/2000 16:15:00,01/26/2000,1135.0,9.105
36,01/28/2000 16:20:00,01/28/2000 18:25:00,01/28/2000,125.0,0.3375
37,01/30/2000 05:50:00,01/30/2000 05:50:00,01/30/2000,0.0,0.0075
38,02/02/2000 16:20:00,02/02/2000 16:20:00,02/02/2000,0.0,0.0075
39,02/02/2000 21:00:00,02/02/2000 21:15:00,02/02/2000,15.0,0.03
40,02/02/2000 23:40:00,02/02/2000 23:50:00,02/02/2000,10.0,0.015
41,02/03/2000 03:10:00,02/03/2000 09:45:00,02/03/2000,395.0,2.4575
42,02/03/2000 14:00:00,02/03/2000 18:45:00,02/03/2000,285.0,2.605
43,02/03/2000 23:00:00,02/04/2000 01:35:00,02/03/2000,155.0,0.2
44,02/04/2000 12:40:00,02/04/2000 14:25:00,02/04/2000,105.0,0.4125
45,02/04/2000 17:25:00,02/04/2000 17:25:00,02/04/2000,0.0,0.0075
46,02/05/2000 13:45:00,02/05/2000 15:35:00,02/05/2000,110.0,0.4900000000000001
