,Start,End,Precipitation,Duration,Date
0,01/01/2000 00:00:00,01/01/2000 06:30:00,1.735,390,01/01/2000
1,01/02/2000 06:05:00,01/02/2000 10:40:00,2.135,275,01/02/2000
2,01/02/2000 17:40:00,01/03/2000 05:25:00,4.915,705,01/02/2000
3,01/04/2000 03:40:00,01/04/2000 08:25:00,4.9575,285,01/04/2000
4,01/04/2000 12:55:00,01/04/2000 17:35:00,0.075,280,01/04/2000
5,01/04/2000 20:10:00,01/04/2000 21:50:00,1.13,100,01/04/2000
6,01/05/2000 14:00:00,01/05/2000 14:20:00,0.0175,20,01/05/2000
7,01/06/2000 06:55:00,01/06/2000 07:00:00,0.005,5,01/06/2000
8,01/07/2000 05:05:00,01/07/2000 11:00:00,4.105,355,01/07/2000
9,01/08/2000 07:05:00,01/08/2000 07:45:00,0.0075,40,01/08/2000
10,01/09/2000 21:45:00,01/09/2000 22:35:00,0.03,50,01/09/2000
11,01/10/2000 21:30:00,01/10/2000 22:20:00,0.57,50,01/10/2000
12,01/11/2000 01:45:00,01/11/2000 03:25:00,0.01,100,01/11/2000
13,01/12/2000 08:50:00,01/12/2000 12:25:00,0.4025,215,01/12/2000
14,01/13/2000 07:05:00,01/13/2000 09:00:00,0.2425,115,01/13/2000
15,01/15/2000 10:25:00,01/15/2000 18:45:00,8.52,500,01/15/2000
16,01/15/2000 21:40:00,01/16/2000 04:30:00,2.2575,410,01/15/2000
17,01/16/2000 08:50:00,01/16/2000 10:40:00,0.19,110,01/16/2000
18,01/16/2000 14:45:00,01/16/2000 15:20:00,0.9125,35,01/16/2000
19,01/18/2000 18:40:00,01/18/2000 19:15:00,0.6925,35,01/18/2000
20,01/20/2000 04:55:00,01/20/2000 05:10:00,0.055,15,01/20/2000
21,01/20/2000 10:30:00,01/20/2000 10:35:00,0.0175,5,01/20/2000
22,01/21/2000 06:00:00,01/21/2000 12:40:00,2.2725,400,01/21/2000
23,01/22/2000 10:15:00,01/22/2000 10:25:00,0.0275,10,01/22/2000
24,01/23/2000 09:45:00,01/23/2000 10:45:00,0.015,60,01/23/2000
25,01/24/2000 15:40:00,01/25/2000 06:50:00,8.855,910,01/24/2000
26,01/25/2000 21:45:00,01/26/2000 05:00:00,0.4075,435,01/25/2000
27,01/26/2000 08:10:00,01/26/2000 10:10:00,0.3675,120,01/26/2000
