,Start,End,Date,Duration,Precipitation
0,03/05/2006 01:20:00,03/05/2006 10:25:00,03/05/2006,545.0,5.3425
1,07/30/2004 21:50:00,07/31/2004 07:40:00,07/30/2004,590.0,10.825
2,01/13/2002 12:45:00,01/13/2002 23:40:00,01/13/2002,655.0,6.757500000000001
3,08/12/2003 08:20:00,08/12/2003 18:00:00,08/12/2003,580.0,5.285
4,10/05/2005 16:50:00,10/05/2005 18:10:00,10/05/2005,80.0,5.88
5,04/12/2003 18:20:00,04/13/2003 02:55:00,04/12/2003,515.0,13.2025
6,05/27/2004 06:30:00,05/27/2004 15:45:00,05/27/2004,555.0,7.65
7,12/02/2004 23:30:00,12/03/2004 06:50:00,12/02/2004,440.0,11.5075
8,12/28/2006 08:20:00,12/28/2006 22:05:00,12/28/2006,825.0,9.5675
9,12/13/2006 23:40:00,12/14/2006 10:25:00,12/13/2006,645.0,5.0425
10,03/11/2002 09:15:00,03/11/2002 14:55:00,03/11/2002,340.0,5.825
11,08/11/2003 19:00:00,08/12/2003 04:05:00,08/11/2003,545.0,9.5825
12,09/16/2006 05:00:00,09/16/2006 11:30:00,09/16/2006,390.0,8.8125
13,03/23/2006 08:10:00,03/23/2006 12:30:00,03/23/2006,260.0,5.4775
14,06/13/2000 20:25:00,06/14/2000 06:35:00,06/13/2000,610.0,6.945000000000001
15,11/15/2003 17:45:00,11/16/2003 01:15:00,11/15/2003,450.0,8.0825
16,02/07/2001 07:45:00,02/07/2001 12:20:00,02/07/2001,275.0,5.0625
17,04/17/2005 12:55:00,04/18/2005 04:40:00,04/17/2005,945.0,9.0575
18,06/29/2002 07:50:00,06/29/2002 18:00:00,06/29/2002,610.0,10.455
19,05/06/2004 19:20:00,05/07/2004 04:35:00,05/06/2004,555.0,6.092500000000001
20,08/21/2001 08:20:00,08/21/2001 16:05:00,08/21/2001,465.0,6.175000000000001
21,04/30/2001 09:00:00,04/30/2001 19:30:00,04/30/2001,630.0,5.265000000000001
22,03/13/2001 16:05:00,03/13/2001 19:55:00,03/13/2001,230.0,6.812499999999999
23,07/27/2000 14:40:00,07/28/2000 02:55:00,07/27/2000,735.0,9.8275
24,04/27/2005 00:25:00,04/27/2005 22:40:00,04/27/2005,1335.0,6.03
25,08/01/2002 11:25:00,08/01/2002 15:20:00,08/01/2002,235.0,7.4275
26,11/28/2006 01:30:00,11/28/2006 10:00:00,11/28/2006,510.0,5.1625000000000005
27,10/29/2004 11:25:00,10/29/2004 18:25:00,10/29/2004,420.0,7.66
28,07/25/2000 01:40:00,07/25/2000 11:10:00,07/25/2000,570.0,8.207500000000001
29,09/11/2006 11:25:00,09/11/2006 18:30:00,09/11/2006,425.0,5.284999999999999
30,06/01/2005 10:00:00,06/01/2005 13:20:00,06/01/2005,200.0,6.885
31,02/10/2004 00:55:00,02/10/2004 10:55:00,02/10/2004,600.0,9.8975
32,03/07/2003 20:45:00,03/08/2003 13:30:00,03/07/2003,1005.0,10.025
33,10/25/2000 13:15:00,10/25/2000 20:05:00,10/25/2000,410.0,9.685
34,12/23/2000 19:10:00,12/23/2000 23:00:00,12/23/2000,230.0,6.699999999999999
35,08/08/2005 22:15:00,08/09/2005 06:00:00,08/08/2005,465.0,11.515
36,12/15/2006 17:00:00,12/15/2006 19:05:00,12/15/2006,125.0,8.280000000000001
37,04/17/2000 07:35:00,04/17/2000 12:00:00,04/17/2000,265.0,6.2700000000000005
38,11/12/2005 09:30:00,11/12/2005 13:15:00,11/12/2005,225.0,5.5125
39,03/07/2006 18:30:00,03/08/2006 18:50:00,03/07/2006,1460.0,14.4775
40,10/13/2003 15:50:00,10/14/2003 02:15:00,10/13/2003,625.0,11.09
41,09/26/2002 16:45:00,09/26/2002 20:10:00,09/26/2002,205.0,13.945
42,10/28/2000 08:45:00,10/28/2000 20:00:00,10/28/2000,675.0,13.525000000000002
43,10/23/2004 17:55:00,10/23/2004 19:05:00,10/23/2004,70.0,6.845
44,06/11/2006 01:20:00,06/11/2006 12:05:00,06/11/2006,645.0,7.865000000000001
45,12/16/2004 17:35:00,12/17/2004 02:50:00,12/16/2004,555.0,9.745
46,03/27/2004 11:45:00,03/28/2004 09:55:00,03/27/2004,1330.0,5.1575
47,01/04/2004 17:15:00,01/05/2004 04:10:00,01/04/2004,655.0,9.3075
48,11/17/2001 18:40:00,11/18/2001 14:45:00,11/17/2001,1205.0,13.4975
49,04/17/2000 22:35:00,04/18/2000 06:15:00,04/17/2000,460.0,6.135
50,08/22/2006 02:50:00,08/22/2006 11:45:00,08/22/2006,535.0,7.895000000000001
