,System flooding,System flooding,System flooding,System flooding,CSO,CSO,CSO,CSO,Pumping energy,Pumping energy,Pumping energy,Pumping energy
,HC,DQN,IQL,VDN,HC,DQN,IQL,VDN,HC,DQN,IQL,VDN
Rain_1,6.023,4.949,5.114,5.39,7.396,2.759,4.254,2.46,135.43,68.38,60.77,46.17
Rain_2,3.344,2.583,2.683,2.68,5.587,2.264,2.693,1.938,106.24,72.34,48.64,44.77
Rain_3,23.873,22.469,22.015,22.574,14.198,7.996,10.198,8.476,254.65,163.16,165.14,147.17
Rain_4,20.614,18.66,18.465,19.36,12.114,6.797,8.966,7.265,218.3,133.82,144.74,121.54
Rain_5,43.565,41.501,41.641,41.454,16.477,13.625,13.173,12.21,295.72,219.14,218.68,230.85
Rain_6,13.222,11.935,11.942,12.034,11.016,4.676,6.47,5.283,199.91,117.25,125.12,92.39
Rain_7,1.498,1.302,1.395,1.117,3.827,1.959,3.106,1.262,70.17,61.14,40.02,36.75
Rain_8,12.958,11.42,11.815,12.004,10.06,4.157,5.408,4.658,183.14,97.19,90.74,80.07
Rain_9,8.255,7.053,6.515,7.349,7.844,3.052,6.013,3.428,141.78,88.37,81.3,55.89
Rain_10,3.353,2.301,2.199,2.476,6.18,4.338,4.115,2.201,118.45,78.92,53.96,41.69
Rain_11,20.843,18.952,19.779,19.531,12.532,7.221,8.152,7.547,219.8,136.86,136.74,132.0
Rain_12,17.793,16.519,16.336,16.292,12.962,7.037,9.806,8.339,233.58,157.35,175.11,141.54
Rain_13,9.26,7.836,8.275,8.337,11.288,5.676,6.812,5.345,195.95,112.54,111.0,112.51
Rain_14,7.931,6.693,6.535,7.268,8.904,3.351,5.725,3.378,156.9,83.21,84.17,59.25
Rain_15,12.141,10.621,11.08,11.299,10.52,5.336,6.317,4.742,189.08,102.69,109.91,85.56
Rain_16,13.567,11.656,11.409,12.17,9.366,4.649,7.169,4.859,183.52,112.58,111.98,80.43
Rain_17,11.409,9.654,10.329,10.637,10.521,5.354,5.832,4.484,186.13,100.83,101.37,87.78
Rain_18,48.251,46.243,46.226,46.237,17.242,13.142,13.081,12.132,310.02,219.33,212.75,228.55
Rain_19,21.872,20.254,20.384,20.517,12.36,6.458,7.587,6.413,215.32,132.79,128.13,116.39
